ID,Country,City,School,City Confidence,Notes,Source Page
96,Brazil,Salvador,Pan American School of Bahia in Salvador,High,,f_pak
97,Brazil,Porto Alegre,Pan American School of Porto Alegre,High,,f_pak
98,Brazil,Rio de Janeiro,Rio International School,High,,f_pak
99,Brazil,Brasilia,School of the Nations Brasilia,High,,f_pak
100,Brazil,Sao Paulo,St. Francis College,High,,f_pak
101,Brazil,Sao Paulo,St. Nicholas School Sao Paulo,High,,f_pak
102,Brazil,Sao Paulo,St. Paul's School,High,,f_pak
103,Brazil,Sao Paulo,WAY American School,High,,f_pak
104,British Virgin Islands,Road Town,Cedar International School,High,Tortola,f_pak
105,Brunei Darussalam,Bandar Seri Begawan,CfBT Project,Low,Not a school: CfBT teacher-supply project for Brunei government schools,f_pak
106,Brunei Darussalam,Bandar Seri Begawan,International School of Brunei,High,,f_pak
107,Brunei Darussalam,Bandar Seri Begawan,Jerudong International School,High,Campus at Jerudong,f_pak
108,Brunei Darussalam,Bandar Seri Begawan,Miftah An-Nur Islamic International School,Low,,f_pak
109,Brunei Darussalam,Seria,Panaga School,High,Shell camp at Panaga,f_pak
110,Bulgaria,Sofia,American College of Sofia,High,,f_pak
111,Bulgaria,Sofia,Anglo American School Sofia,High,,f_pak
112,Bulgaria,Sofia,British School Sofia Bulgaria,High,,f_pak
113,Bulgaria,Sofia,St. George International School,High,,f_pak
114,Burkina Faso,Ouagadougou,International School of Ouagadougou,High,,f_pak
115,Cambodia,Phnom Penh,Asian Hope International School,High,,f_pak
116,Cambodia,Phnom Penh,Australian International School Phnom Penh,High,,f_pak
117,Cambodia,Phnom Penh,Cambodia International Academy,Medium,,f_pak
118,Cambodia,Phnom Penh,Canadian International School Cambodia,High,,f_pak
119,Cambodia,Phnom Penh,CIA First International School,High,,f_pak
120,Cambodia,Phnom Penh,East West International School,High,,f_pak
121,Cambodia,Phnom Penh,iCAN British International School (IBIS),High,,f_pak
122,Cambodia,Phnom Penh,International School Phnom Penh (ISPP),High,,f_pak
123,Cambodia,Siem Reap,Jay Pritzker Academy,High,,f_pak
124,Cambodia,Phnom Penh,Learning Jungle International School,Medium,,f_pak
125,Cambodia,Phnom Penh,Logos International School,High,,f_pak
126,Cambodia,Phnom Penh,New Gateway International School,Medium,,f_pak
127,Cambodia,Phnom Penh,Northbridge International School,High,,f_pak
128,Cambodia,Phnom Penh,Singapore Cambodia International Academy,Medium,,f_pak
129,Cambodia,Phnom Penh,Southbridge International School,Medium,,f_pak
130,Cambodia,Phnom Penh,Treehouse International School,Medium,,f_pak
131,Cambodia,Phnom Penh,Westview International School,Medium,,f_pak
132,Cambodia,Phnom Penh,Zaman International School,High,,f_pak
133,Cameroon,Douala,American School Douala,High,,f_pak
134,Cameroon,Yaounde,American School of Yaounde,High,,f_pak
135,Cameroon,Douala,Enko La Gaiete International School,High,,f_pak
136,Cameroon,Douala,The Bridge International School,High,,f_pak
137,Canada,Ottawa,Academie de la Capitale,High,,f_pak
138,Canada,Calgary,Banbury Crossroads School,High,,f_pak
139,Canada,Summerland,Unisus School,High,British Columbia,f_pak
140,Cayman Island,George Town,Cayman International School,High,Camana Bay,f_pak
141,Cayman Island,George Town,Cayman Prep & High School,High,,f_pak
142,Cayman Island,George Town,St Ignatius Catholic School,High,,f_pak
143,Cayman Island,George Town,Triple C School,High,,f_pak
144,Chile,Antofagasta,Antofagasta International School,High,,f_pak
145,Chile,Santiago,Craighouse School,High,,f_pak
146,Chile,Santiago,Grange School Santiago,High,,f_pak
147,Chile,Santiago,Nido de Aguilar,High,Source typo: Nido de Aguilas,f_pak
148,Chile,Santiago,Santiago College,High,,f_pak
149,China,Beijing,3e International School,High,,f_pak
150,China,Ningbo,Access International Academy Ningbo,High,,f_pak
151,China,Tianjin,Admiral Farragut Academy Tianjin,High,,f_pak
152,China,Beijing,Affiliated High School Peking University,High,,f_pak
153,China,Guangzhou,Affiliated High School South China Normal University,High,,f_pak
154,China,Guangzhou,Alcanta International College,Medium,Panyu,f_pak
155,China,Guangzhou,American International School Guangzhou,High,,f_pak
156,China,Shanghai,American Lee Academy Shanghai,High,,f_pak
157,China,Hefei,Anhui International Studies University,Medium,,f_pak
158,China,Shenzhen,Avenues Shenzhen,High,,f_pak
159,China,Ningbo,Barstow School Knowledge Link Ningbo,High,,f_pak
160,China,Chengdu,BASIS International & Bilingual Schools Chengdu,High,,f_pak
161,China,Wuhan,BASIS International & Bilingual School Wuhan,High,,f_pak
162,China,Guangzhou,BASIS International School Guangzhou,High,,f_pak
163,China,Hangzhou,BASIS International School Hangzhou,High,,f_pak
164,China,Nanjing,BASIS International School Nanjing,High,,f_pak
165,China,Huizhou,BASIS International School Park Lane Harbour,High,,f_pak
166,China,Shenzhen,BASIS International School Shenzhen,High,,f_pak
167,China,Beijing,Beanstalk International Bilingual School,High,,f_pak
168,China,Beijing,Beijing Changping Xinxuedao International School,High,,f_pak
169,China,Beijing,Beijing City International School,High,,f_pak
170,China,Beijing,Beijing Huijia Private School,High,,f_pak
171,China,Beijing,Beijing International Bilingual Academy,High,,f_pak
172,China,Guiyang,Beijing International Bilingual Academy – Guiyang,High,,f_pak
173,China,Beijing,Beijing International School BISS,High,,f_pak
174,China,Beijing,Beijing National Day School,High,,f_pak
175,China,Yangzhou,Beijing New Oriental Foreign Language School Yangzhou,High,,f_pak
176,China,Beijing,Beijing No. 80 High International Dept.,High,,f_pak
177,China,Beijing,Beijing Tongzhou Shuren,High,,f_pak
178,China,Beijing,Beijing World Youth Academy,High,,f_pak
179,China,Beijing,BFSU International Schools,Medium,Group; Beijing given,f_pak
180,China,Wuxi,Big Bridge Academy Wuxi,High,,f_pak
181,China,Beijing,BO AI International High School Programme,Low,Could not identify; capital given,f_pak
182,China,Wuxi,Boston International School Wuxi,High,,f_pak
183,China,Guangzhou,Britannia International School,Medium,Baiyun District,f_pak
184,China,Shanghai,Britannica International School Shanghai,High,,f_pak
185,China,Foshan,Bright Scholar Education Group,Medium,Group with many campuses; HQ Foshan (Shunde),f_pak
186,China,Shanghai,British International School Shanghai Puxi,High,,f_pak
187,China,Beijing,British School Beijing Sanlitun,High,,f_pak
188,China,Beijing,British School Beijing Shunyi Campus,High,,f_pak
189,China,Guangzhou,British School Guangzhou,High,,f_pak
190,China,Nanjing,British School of Nanjing,High,,f_pak
191,China,Shenzhen,Bromsgrove School Missions Hills,High,Source typo: Mission Hills,f_pak
192,China,Shenzhen,Buena Vista Concordia International School,High,,f_pak
193,China,Beijing,Cambridge International Centre,Low,Could not identify; capital given,f_pak
194,China,Daqing,Cambridge Inter'l Centre DaQing No.1,High,,f_pak
195,China,Beijing,Cambridge International Centre Beijing,High,,f_pak
196,China,Beijing,Canadian International School Beijing,High,,f_pak
197,China,Nanning,Canadian International School Guangxi Gaojie,Medium,,f_pak
198,China,Guangzhou,Canadian International School Guangzhou,High,,f_pak
199,China,Hefei,Canadian International School Hefei,High,,f_pak
200,China,Kunshan,Canadian International School Kunshan,High,,f_pak
201,China,Kunming,Canadian Kunming Number 10 Secondary,High,,f_pak
202,China,Yantai,Canadian-Sino Education Exchange Centre Yantai,High,,f_pak
203,China,Changchun,Changchun American International School,High,,f_pak
204,China,Changshu,Changshu International School,High,,f_pak
205,China,Changzhou,Changzhou Trina International School,High,,f_pak
206,China,Beijing,Chaoyang Kaiwen Academy,High,,f_pak
207,China,Chengdu,Chengdu Meishi International School,High,,f_pak
208,China,Chongqing,Chongqing Bachuan International School,High,,f_pak
209,China,Chongqing,Chongqing DEPU Foreign Language School,High,,f_pak
210,China,Guangzhou,Clifford School of Panyu,High,Panyu,f_pak
211,China,Shanghai,Concordia International School Shanghai,High,,f_pak
212,China,Qingdao,Confucius International School,Medium,,f_pak
213,China,Dalian,Dalian American International School,High,,f_pak
214,China,Beijing,Daystar Academy,High,,f_pak
215,China,Shanghai,Dehong Chinese International School,Medium,Group; also Beijing and Xi'an campuses,f_pak
216,China,Shanghai,Dipont Education,Medium,Education group; HQ Shanghai,f_pak
217,China,Kunshan,Dipont Huayao Collegiate Kunshan,High,,f_pak
218,China,Shanghai,DTD Kindergarten Jingan,High,,f_pak
219,China,Beijing,Dulwich College Beijing,High,,f_pak
220,China,Shanghai,Dulwich College Shanghai,High,,f_pak
221,China,Suzhou,Dulwich College Suzhou,High,,f_pak
222,China,Zhuhai,Dulwich International High School Programme Hengqin,High,Hengqin,f_pak
223,China,Suzhou,Dulwich International High School Programme Suzhou,High,,f_pak
224,China,Shanghai,ECNU Affiliated Bilingual School,High,,f_pak
225,China,Chengdu,EtonHouse International Preschool Chengdu,High,,f_pak
226,China,Nanjing,EtonHouse International School Nanjing,High,,f_pak
227,China,Suzhou,EtonHouse International School Suzhou,High,,f_pak
228,China,Wuxi,EtonHouse International School Wuxi,High,,f_pak
229,China,Shanghai,Fudan International School,High,,f_pak
230,China,Shenzhen,Green Oasis School,High,,f_pak
231,China,Shantou,GTIIT-Affiliated International School,High,,f_pak
232,China,Chengdu,Guang Ya IB School,Medium,Dujiangyan,f_pak
233,China,Foshan,Guangdong Country Garden School,High,Shunde,f_pak
234,China,Guangzhou,Guangzhou Experimental School,High,,f_pak
235,China,Guangzhou,Guangzhou Nanfang International School,High,,f_pak
236,China,Guangzhou,Guangzhou SCA School,High,,f_pak
237,China,Guangzhou,Guangzhou ULink International School,High,,f_pak
238,China,Guiyang,Guiyang Concord College Sino-Canada,High,,f_pak
239,China,Tianjin,Haileybury International College,Low,Could not identify; possibly same as Haileybury Tianjin,f_pak
240,China,Tianjin,Haileybury International School Tianjin,High,,f_pak
241,China,Wenchang,Hainan College of Foreign Studies,Medium,Hainan,f_pak
242,China,Hangzhou,Hangzhou #14 Secondary School,High,,f_pak
243,China,Hangzhou,Hangzhou Dipont School of Arts and Science,High,,f_pak
244,China,Hangzhou,Hangzhou International School,High,,f_pak
245,China,Hangzhou,Hangzhou Victoria Kindergarten,High,,f_pak
246,China,Harbin,Harbin School #9,High,,f_pak
247,China,Tianjin,Harbor View Tianjin,High,,f_pak
248,China,Beijing,Harrow Beijing,High,,f_pak
249,China,Chongqing,Harrow Innovation Leadership Academy Chongqing,High,,f_pak
250,China,Haikou,Harrow Innovation Leadership Academy Haikou,High,,f_pak
251,China,Nanning,Harrow Innovation Leadership Academy Nanning,High,,f_pak
252,China,Guangzhou,Harrow International School Guangzhou,High,,f_pak
253,China,Shenzhen,Harrow International School Shenzhen Qianhai,High,,f_pak
254,China,Beijing,HD Schools Beijing,High,,f_pak
255,China,Ningbo,HD Schools Ningbo,High,,f_pak
256,China,Hefei,Hefei Thomas School,High,,f_pak
257,China,Beijing,High School Affiliated to Beijing Normal University,High,,f_pak
258,China,Tianjin,HIKSVS International School,Medium,,f_pak
259,China,Shanghai,Hong Qiao International School,High,,f_pak
260,China,Qingdao,Hongwen School Qingdao,High,,f_pak
261,China,Shenzhen,Houde Academy Shenzhen,High,,f_pak
262,China,Beijing,Hsuan Huai Institute,Low,Could not identify; capital given,f_pak
263,China,Ningbo,Huamao International School,High,,f_pak
264,China,Shenzhen,Huitong School,Medium,Nanshan,f_pak
265,China,Beijing,Innova Academy Beijing,High,,f_pak
266,China,Beijing,Interlingua Language Center Dayang,Low,Could not identify location; capital given,f_pak
267,China,Beijing,International Montessori School Beijing,High,,f_pak
268,China,Beijing,International School Beijing-Shunyi,High,,f_pak
269,China,Dongguan,International School Dongguan,High,,f_pak
270,China,Nanjing,International School Nanjing Yuhuatai,High,,f_pak
271,China,Shenzhen,International School Nanshan Shenzhen,High,,f_pak
272,China,Tianjin,International School Tianjin,High,,f_pak
273,China,Qingdao,International School Qingdao,High,,f_pak
274,China,Wuxi,International School Wuxi,High,,f_pak
275,China,Guangzhou,ISA Liwan International School,High,,f_pak
276,China,Guangzhou,ISA Science City International School Guangzhou,High,,f_pak
277,China,Guangzhou,ISA Tianhe International School,High,,f_pak
278,China,Wuhan,ISA Wuhan School,High,,f_pak
279,China,Jiaxing,Jiaxing Senior High School,High,,f_pak
280,China,Jinan,Jinan Foreign Language School International Center,High,,f_pak
281,China,Jinan,Jinan Thomas School,High,,f_pak
282,China,Nanchang,JKFZ Cambridge International School,Medium,,f_pak
283,China,Beijing,JOY EL Academy,Medium,Chaoyang,f_pak
284,China,Beijing,Kaiwen Academy Haidian,High,,f_pak
285,China,Kunshan,Kang Chiao International School,Medium,East China campus; HQ Taipei,f_pak
286,China,Qingdao,Kaplan Qingdao No 2 Middle School,High,,f_pak
287,China,Beijing,Keystone Academy,High,,f_pak
288,China,Wuxi,King's College International School Wuxi,High,,f_pak
289,China,Shenzhen,Kings School Shenzhen International,High,,f_pak
290,China,Chengdu,KL International School Chengdu Bashu,High,,f_pak
291,China,Qingdao,Korean International School in Qingdao,High,,f_pak
292,China,Foshan,Lady Eleanor Holles International School Foshan,High,,f_pak
293,China,Chengdu,Leman International School Chengdu,High,,f_pak
294,China,Beijing,Limai Chinese American (International) School,High,,f_pak
295,China,Shanghai,Little Urban Center,Medium,Preschool group,f_pak
296,China,Macau,Macau Sam Yuk Middle School,High,Listed under China; located in Macau SAR,f_pak
297,China,Beijing,Majestic International School,Low,Could not identify; capital given,f_pak
298,China,Chengdu,Malvern College Chengdu,High,,f_pak
299,China,Qingdao,Malvern College Qingdao,High,,f_pak
300,China,Dalian,Maple Leaf Educational Systems – Foreign National School Dalian,High,,f_pak
301,China,Dalian,Maple Leaf Educational Systems – International School Dalian,High,,f_pak
302,China,Tianjin,Maple Leaf Educational Systems – Maple Leaf School Tianjin,High,,f_pak
303,China,Ordos,Maple Leaf Educational Systems – Maple Leaf International School Ordos,High,,f_pak
304,China,Wuhan,Maple Leaf Educational Systems – Maple Leaf International School Wuhan,High,,f_pak
305,China,Qingdao,Menaul School Qingdao,High,,f_pak
306,China,Shenzhen,Merchiston International School,High,,f_pak
307,China,Beijing,Moonshot Academy,High,,f_pak
308,China,Suzhou,Mountain Kingston Bilingual School,Medium,,f_pak
309,China,Jinhua,Myddelton College China,Medium,,f_pak
310,China,Nanjing,Nanjing Ansheng (Thomas) School,High,,f_pak
311,China,Nanjing,Nanjing Foreign Language School Xianlin,High,,f_pak
312,China,Nanjing,Nanjing International School,High,,f_pak
313,China,Guangzhou,Nansha College Preparatory Academy,High,Nansha,f_pak
314,China,Guangzhou,Nansha Chinese International College,High,Nansha,f_pak
315,China,Nantong,Nantong Stalford International School,High,,f_pak
316,China,Ningbo,Ningbo Foreign Language School,High,,f_pak
317,China,Ningbo,Ningbo British International School,High,,f_pak
318,China,Ningbo,Ningbo Zhicheng School International,High,,f_pak
319,China,Shanghai,Nord Anglia Chinese International School Shanghai,High,,f_pak
320,China,Guangzhou,Nord Anglia Guangzhou Panyu,High,Panyu,f_pak
321,China,Shanghai,Nord Anglia International School Shanghai Pudong,High,,f_pak
322,China,Beijing,Nord Anglia School Beijing Fangshan,High,,f_pak
323,China,Nantong,Nord Anglia School Nantong,High,,f_pak
324,China,Shanghai,North American International School,Medium,NAIS Shanghai (also Guangzhou/Wuxi branches),f_pak
325,China,Wenzhou,Oujing International Kindergarten,Low,Zhejiang province; Wenzhou (Oujiang) assumed,f_pak
326,China,Qingdao,Okma International Academy Qingdao,High,,f_pak
327,China,Hangzhou,Olive Tree International Academy,High,"Olive Tree International Academy BFSU, Hangzhou",f_pak
328,China,Suzhou,Overseas Chinese Academy Chiway Suzhou,High,,f_pak
329,China,Wuxi,Overseas Chinese Academy Chiway Wuxi,High,,f_pak
330,China,Dongguan,OX TLC International School,High,,f_pak
331,China,Changzhou,Oxford International College,Medium,Oxford International College of Changzhou,f_pak
332,China,Qingdao,Pegasus California School,Medium,,f_pak
333,China,Jiaxing,Peking University Experimental School Jiaxing,High,,f_pak
334,China,Suqian,Peking University Experimental School Suqian,High,,f_pak
335,China,Guangzhou,Phoenix City International School,Medium,Zengcheng district,f_pak
336,China,Qingdao,Qingdao#1 International School Shandong,High,,f_pak
337,China,Qingdao,Qingdao Academy China,High,,f_pak
338,China,Qingdao,Qingdao Amerasia International School,High,,f_pak
339,China,Qingdao,Qingdao International Foreign Language School,High,,f_pak
340,China,Chengdu,QSI International School Chengdu,High,,f_pak
341,China,Dongguan,QSI International School Dongguan,High,,f_pak
342,China,Shenzhen,QSI International School Shekou,High,Shekou district,f_pak
343,China,Shenzhen,QSI International School Shenzhen (Futian),High,,f_pak
344,China,Shenzhen,RDF International School,Medium,"RDF International School, Shenzhen",f_pak
345,China,Beijing,RDFZ Xishan School,High,,f_pak
346,China,Nanjing,Reigate Grammar School,Medium,"RGS has Nanjing, Zhangjiagang and Shenzhen campuses; Nanjing given",f_pak
347,China,Beijing,Renda Fuzhong,High,High School Affiliated to Renmin University of China,f_pak
348,China,Macau,School of the Nations Macau,High,,f_pak
349,China,Beijing,School Year Abroad,Medium,"SYA China programme, Beijing",f_pak
350,China,Fuzhou,Sedbergh School,Medium,Rong Qiao Sedbergh School Fuzhou,f_pak
351,China,Shanghai,Shanghai American School Puxi & Pudong,High,,f_pak
352,China,Shanghai,Shanghai Community International,High,,f_pak
353,China,Shanghai,Shanghai Concord Bilingual School,High,,f_pak
354,China,Shanghai,Shanghai DTD Academy,High,,f_pak
355,China,Shanghai,Shanghai Huaer Collegiate School,High,,f_pak
356,China,Shanghai,Shanghai Jincai International School,High,,f_pak
357,China,Shanghai,Shanghai Livingston American School,High,,f_pak
358,China,Shanghai,Shanghai Nanyang Model Private High School,High,,f_pak
359,China,Shanghai,Shanghai Qibao Dwight High School,High,,f_pak
360,China,Shanghai,Shanghai Rego International School,High,,f_pak
361,China,Shanghai,Shanghai Shangde Experimental School,High,,f_pak
362,China,Shanghai,Shanghai Singapore International,High,,f_pak
363,China,Shanghai,Shanghai United International School,High,,f_pak
364,China,Shenzhen,Shekou International School,High,,f_pak
365,China,Shenzhen,Shen Wai International School,High,,f_pak
366,China,Macau,Sheng Kung Hui Primary School Macau,High,,f_pak
367,China,Shenyang,Shenyang Transformation International School,High,,f_pak
368,China,Shenyang,Shenyang Pacific International School,High,,f_pak
369,China,Shenyang,Shenyang Pacific International Academy,High,,f_pak
370,China,Shenzhen,Shenzhen American International School,High,,f_pak
371,China,Shenzhen,Shenzhen College of Int'l Education,High,,f_pak
372,China,Shenzhen,Shenzhen Yaohua Experimental School,High,,f_pak
373,China,Foshan,Shimen Middle School,Medium,"Nanhai district, Foshan",f_pak
374,China,Chengdu,Shude AP Center Chengdu,High,,f_pak
375,China,Chengdu,Shude International Foreign Language Sch.,High,,f_pak
376,China,Beijing,Shuren-Ribet Private School Beijing,High,,f_pak
377,China,Zhengzhou,Sias International School,Medium,"Xinzheng, Zhengzhou",f_pak
378,China,Beijing,Sino Bright School,Medium,,f_pak
379,China,Hefei,Sino-Canada Concord School Hefei High Tech Zone,High,,f_pak
380,China,Suzhou,Sino Canada High School,Medium,"Wujiang district, Suzhou",f_pak
381,China,Shanghai,SMIC Private School Shanghai,High,,f_pak
382,China,Qingdao,Southlands School Qingdao,High,,f_pak
383,China,Beijing,Springboard International Bilingual School,Medium,Shunyi district,f_pak
384,China,Xi'an,SSFBC OnCourse Schools,Medium,SSFBC = High School Affiliated to Shaanxi Normal University,f_pak
385,China,Suzhou,Suzhou Industrial Park Foreign Language School,High,,f_pak
386,China,Suzhou,Suzhou International Academy BFSU,High,,f_pak
387,China,Suzhou,Suzhou Singapore International School,High,,f_pak
388,China,Tianjin,TEDA International School,High,,f_pak
389,China,Macau,The International School Macao,High,,f_pak
390,China,Sanya,The International School Sanya,High,,f_pak
391,China,Shanghai,Tianjiabing International School,Low,Likely Shanghai Tianjiabing HS international dept; several Tin Ka Ping schools exist,f_pak
392,China,Tianjin,Tianjin Experimental High School,High,,f_pak
393,China,Tianjin,Tianjin Fayao High School,High,,f_pak
394,China,Tianjin,Tianjin International School,High,,f_pak
395,China,Tianjin,Tianjin Rego International School,High,,f_pak
396,China,Nanjing,Times College,Medium,"Times College, Nanjing (IB)",f_pak
397,China,Guilin,Treville Foreign Language School,Low,Treville language school found in Guilin; uncertain,f_pak
398,China,Beijing,Tsinghua High School International,High,,f_pak
399,China,Beijing,Tsinghua International School,High,,f_pak
400,China,Beijing,Tsinghua International School Daoxiang Lake,High,,f_pak
401,China,Dongguan,Tsinglan School,High,Songshan Lake,f_pak
402,China,Guangzhou,U Link College,Medium,ULink College of Guangzhou,f_pak
403,China,Suzhou,Ul Link College of Suzhou Industrial Park,High,,f_pak
404,China,Changshu,United World College Changshu,High,,f_pak
405,China,Guangzhou,Utahloy International School Guangzhou,High,,f_pak
406,China,Guangzhou,Utahloy International Zengcheng,High,Zengcheng district,f_pak
407,China,Beijing,Uxuan Education and Technologies,Low,"Company, not a school; city unknown",f_pak
408,China,Shanghai,Vanke Bilingual School Minhang,High,Minhang district,f_pak
409,China,Shenzhen,Vanke Meisha Academy,High,,f_pak
410,China,Shanghai,Vanke School Pudong,High,,f_pak
411,China,Shanghai,Vermont Int'l Acad. China / USA,Medium,,f_pak
412,China,Hangzhou,Wahaha Bilingual School Hangzhou,High,,f_pak
413,China,Shanghai,Wellington College International,Medium,"Group with Shanghai, Tianjin, Hangzhou campuses; Shanghai given (Tianjin listed separately)",f_pak
414,China,Tianjin,Wellington College International Tianjin,High,,f_pak
415,China,Beijing,Western Academy Beijing,High,,f_pak
416,China,Shanghai,Western International School Shanghai,High,,f_pak
417,China,Wuhan,Wuhan Ulink College of China Optics Valley,High,,f_pak
