ASSIGNMENT_ID,GLOBAL_ID,TEACHER_ID,SCHOOL_ID,POSITION_TITLE,SUBJECTS_TAUGHT,GRADE_LEVELS_TAUGHT,START_DATE,END_DATE,EMPLOYMENT_TYPE,SALARY_RANGE,SUPERVISOR_NAME,DEPARTMENT,IS_CURRENT_POSITION,CREATED_DATE,LAST_MODIFIED
ASG0027,077c422d-9fa3-45e2-be4c-f01af377889f,T013,SCH001,Teacher,English,Grades 9-12,2006-08-01,2010-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0028,24457a70-82f8-43ba-87fc-f474dcbf0266,T013,SCH026,Senior Teacher,French,PK-K,2011-08-01,2016-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0029,50517737-3a59-4f05-ae46-ea3e3ce5e494,T013,SCH014,Librarian,Librarian,Grades 9-12,2016-08-01,2018-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0030,ee64e1fc-b30a-431a-a2d9-4b1a422d5862,T013,SCH029,Senior Teacher,Design Technology,PK-K,2018-08-01,2021-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0031,d7af0eef-c64d-4332-9c85-38ebc1613c73,T014,SCH027,Senior Teacher,English,Grades K-5,2008-08-01,2010-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0032,6c2e252d-09ad-471f-9714-e32559dd8d41,T014,SCH032,Senior Teacher,English,Grades 9-10,2011-08-01,2016-06-30,Part-time,,,English,No,2026-06-07,2026-06-07
ASG0033,5d2e31fb-bfe9-4d81-8bce-d05638649da5,T014,SCH012,Head of Department,English,PK-K,2016-08-01,2021-06-30,Part-time,,,English,No,2026-06-07,2026-06-07
ASG0034,1ff1bcad-4b7b-4169-bfa3-84e693931337,T015,SCH015,Teacher,Mathematics,PK-K,2018-08-01,2022-06-30,Part-time,,,Mathematics,No,2026-06-07,2026-06-07
ASG0035,a2038f1a-066b-467d-a6f1-3d011ffd1325,T016,SCH009,Teacher,Music,Grades 6-12,2014-08-01,2016-06-30,Part-time,,,Arts,No,2026-06-07,2026-06-07
ASG0036,2c2b318d-4750-4473-a8b9-d7f6e090a0e4,T016,SCH036,Teacher,Music,Grades K-5,2017-08-01,2021-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0037,9456ebaa-4fd7-4202-ab12-ef78a1bde37c,T016,SCH015,Teacher,Music,Grades 9-10,2022-08-01,,Full-time,,,Arts,Yes,2026-06-07,2026-06-07
ASG0038,3493d84c-b7fb-42a4-81d3-b2ff95af0731,T017,SCH001,Teacher,English as an Additional Language,Grades 6-8,2015-08-01,2018-06-30,Part-time,,,English,No,2026-06-07,2026-06-07
ASG0039,df60ac98-24a1-4983-9b20-cd7bd260bf3f,T017,SCH012,Senior Teacher,Design Technology,Grades 6-8,2018-08-01,2021-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0040,62be6830-89ff-43ca-8658-25c678c2970c,T018,SCH032,Teacher,Design Technology,PK-K,2009-08-01,2014-06-30,Part-time,,,Technology,No,2026-06-07,2026-06-07
ASG0041,3018bb4c-5269-4d13-85ab-2c00e40b4f1c,T018,SCH011,Teacher,Design Technology,Grades 6-12,2014-08-01,2019-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0042,79a94f4a-d8a5-4795-972f-737535d5ed69,T018,SCH022,Dean of Students,Dean of Students,Grades 9-12,2019-08-01,2021-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0043,a7481a32-47c7-4e97-8cbd-e1587ec1f96c,T019,SCH018,Teacher,Drama,Grades 9-10,2013-08-01,2015-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0044,3582c7af-33eb-4724-8486-6620008e6dea,T019,SCH038,Teacher,Business Management,Grades 9-12,2015-08-01,2020-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0045,9e70d893-85d1-45ff-8047-5f10eee0119e,T019,SCH034,Teacher,Drama,Grades 9-12,2021-08-01,,Full-time,,,Arts,Yes,2026-06-07,2026-06-07
ASG0046,6103b563-f02a-4689-b18c-f2d9d5108c58,T020,SCH034,Senior Teacher,Geography,Grades 9-10,2014-08-01,2016-06-30,Part-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0047,dd588881-bb9b-481f-a73b-08f9014a8e5c,T020,SCH012,Senior Teacher,Geography,Grades 9-10,2017-08-01,2021-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0048,81feb035-91d1-4079-a7b0-c95297b19d52,T020,SCH031,Teacher,Geography,Grades 9-10,2021-08-01,2023-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0049,a95ee190-fa45-4903-af11-89558c3c5407,T021,SCH030,Teacher,English as an Additional Language,Grades 9-12,2018-08-01,2021-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0050,f05281ba-3aa5-4372-aded-e5d390406a36,T021,SCH003,Senior Teacher,Psychology,Grades 6-12,2021-08-01,2023-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0051,f0930a06-55a3-460e-88e4-a8de0504a475,T022,SCH020,Teacher,Physics,Grades 6-8,2003-08-01,2008-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0052,08bca12e-45f0-4a17-ae85-bbaf64cb4e69,T022,SCH025,Teacher,English,Grades 6-12,2008-08-01,2011-06-30,Part-time,,,English,No,2026-06-07,2026-06-07
ASG0053,1e0b89ac-0494-49c8-9431-2c73e2554059,T022,SCH029,Subject Coordinator,Physical Education,Grades K-5,2012-08-01,2015-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0054,a881462b-c8e0-4fb0-b86c-e22a65e9a975,T022,SCH007,Librarian,Librarian,Grades 9-12,2016-08-01,2018-06-30,Part-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0055,bbcdb062-ee3a-4cdf-b101-912190a581ca,T022,SCH017,Teacher,Economics,PK-K,2018-08-01,2020-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0056,1e5321ec-9e7e-43a8-a83b-95078a556478,T023,SCH020,Senior Teacher,Music,Grades 6-8,2016-08-01,2019-06-30,Part-time,,,Arts,No,2026-06-07,2026-06-07
ASG0057,4653b949-f3e0-4cc7-a7cd-937d9d1e0970,T023,SCH028,Teacher,Music,Grades 6-8,2019-08-01,2022-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0058,d4dbeab6-d4aa-4660-92bb-58cd79de4463,T024,SCH035,Senior Teacher,Psychology,Grades K-5,2016-08-01,2019-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0059,3516f5a4-ccf7-4845-b9b9-9a144b8c3631,T024,SCH038,Teacher,Psychology,Grades 11-12,2020-08-01,2023-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0060,4fbd8c8d-bb9e-43d2-817e-8dcfdc91f304,T025,SCH018,Teacher,French,Grades 11-12,2008-08-01,2010-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0061,8c6ddb3d-de15-4df1-ab34-e5a7c69a139c,T025,SCH001,Teacher,French,Grades 6-12,2011-08-01,2015-06-30,Part-time,,,Languages,No,2026-06-07,2026-06-07
ASG0062,515de8d5-3294-4595-baa6-7cc768e55ebc,T025,SCH028,Athletic Director,Athletic Director,Grades 6-8,2015-08-01,2017-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0063,347c348a-b437-46a6-8f9f-4b8988f5e9d6,T025,SCH004,Senior Teacher,Physical Education,Grades K-5,2018-08-01,2021-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0064,7ecdc492-0f8f-408a-8cc7-d6173466aa9a,T026,SCH001,Teacher,Music,Grades 11-12,2019-08-01,2022-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0065,d85485ba-fa44-4122-80ad-a2f0236fd0ff,T027,SCH030,Teacher,Environmental Systems,Grades 9-10,2016-08-01,2018-06-30,Part-time,,,Science,No,2026-06-07,2026-06-07
ASG0066,d2ff0597-181b-4fa7-9c03-37f8707078d8,T027,SCH005,Teacher,Environmental Systems,PK-K,2018-08-01,2023-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0067,741f278c-dd3d-4acb-a067-382f3674663c,T028,SCH033,Teacher,Visual Arts,Grades 6-8,2017-08-01,2021-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0068,aff72a96-299b-4c82-8343-a53d07a865e8,T028,SCH013,Senior Teacher,Visual Arts,Grades 6-8,2022-08-01,,Full-time,,,Arts,Yes,2026-06-07,2026-06-07
ASG0069,f571219b-28af-439f-8df7-022c44f2ba37,T029,SCH010,Teacher,Business Management,Grades K-5,2022-08-01,2026-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0070,7abc5f76-f00a-4847-8457-0ece70d536f7,T030,SCH010,Teacher,Psychology,Grades 6-8,2020-08-01,,Full-time,,,Humanities,Yes,2026-06-07,2026-06-07
ASG0071,041c4c12-945c-4862-b80d-2f428785c143,T031,SCH016,Teacher,Computer Science,Grades 9-10,2020-08-01,2022-06-30,Part-time,,,Technology,No,2026-06-07,2026-06-07
ASG0072,48b1a58f-de72-4955-9abd-7eb9126a47d7,T031,SCH024,Teacher,Computer Science,Grades 6-8,2022-08-01,2024-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0073,3a87d8d0-b179-43de-8c3d-ed254b37fbef,T032,SCH024,Teacher,Physics,Grades 9-10,2016-08-01,2020-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0074,0cf53125-214a-40f5-a8ae-60d26ec772f6,T032,SCH001,Teacher,Physics,Grades 9-10,2021-08-01,,Full-time,,,Science,Yes,2026-06-07,2026-06-07
ASG0075,5b2d14b8-b256-4328-82d7-ed6c182a656b,T033,SCH024,Senior Teacher,French,Grades 6-12,2017-08-01,2021-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0076,7c5dd107-d56f-4d50-908b-a0a57d651e50,T033,SCH002,Senior Teacher,French,Grades 9-10,2021-08-01,,Full-time,,,Languages,Yes,2026-06-07,2026-06-07
ASG0077,7afd80fc-d27d-439a-8d49-37fac6a66990,T034,SCH009,Teacher,Geography,Grades 11-12,2007-08-01,2012-06-30,Part-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0078,bcdc9b46-3514-4074-a6a0-2c0d214a722b,T034,SCH025,Senior Teacher,Geography,Grades 9-12,2012-08-01,2017-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0079,3d74e109-b24c-4657-9d70-080dd4a10454,T034,SCH020,Librarian,Librarian,Grades K-5,2017-08-01,2021-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0080,4ef04b59-68a5-44ad-bbcc-2ff6533a4c74,T034,SCH001,Dean of Students,Dean of Students,Grades K-5,2021-08-01,2023-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0081,e732ab5d-4a43-49c7-9cf4-96169d7be9b2,T035,SCH008,Teacher,Environmental Systems,Grades K-5,2000-08-01,2003-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0082,5d22c21f-4ab0-4be8-a456-ae40018f0af6,T035,SCH005,Teacher,Environmental Systems,Grades 11-12,2004-08-01,2009-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0083,77f261a2-0f2a-4a58-9e18-be9c0821c898,T035,SCH022,Senior Teacher,Environmental Systems,Grades 6-8,2010-08-01,2014-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0084,58bcbf19-f5d2-4938-8ab1-3208aaf0ba34,T035,SCH027,Teacher,Environmental Systems,Grades 11-12,2014-08-01,2016-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0085,deebe8d0-540e-49fc-ac13-644657d853f9,T035,SCH020,Principal,Administration,PK-K,2016-08-01,2020-06-30,Full-time,,,School Leadership,No,2026-06-07,2026-06-07
ASG0086,7fbd588f-dcf8-427a-9e04-bf80f555c228,T036,SCH026,Teacher,Biology,Grades 6-8,2012-08-01,2014-06-30,Part-time,,,Science,No,2026-06-07,2026-06-07
ASG0087,40d29a68-9523-4161-9f43-d136373a6bab,T036,SCH034,Senior Teacher,Biology,Grades 6-8,2015-08-01,2019-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0088,fc454ce7-1c3d-4784-b2d1-a47043bea116,T036,SCH024,Senior Teacher,Biology,Grades 6-8,2020-08-01,2023-06-30,Part-time,,,Science,No,2026-06-07,2026-06-07
ASG0089,53afa3cc-2449-4f4f-a99f-e0b50bca130f,T036,SCH029,Subject Coordinator,Biology,Grades 6-8,2023-08-01,2025-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0090,5aa833ec-6b43-4e3b-aa95-567d37bedc2f,T037,SCH003,Senior Teacher,Mathematics,Grades K-5,2016-08-01,2018-06-30,Full-time,,,Mathematics,No,2026-06-07,2026-06-07
ASG0091,41d42cca-bebe-4e44-9129-3417b14ec73b,T037,SCH020,Teacher,Mathematics,PK-K,2019-08-01,2022-06-30,Full-time,,,Mathematics,No,2026-06-07,2026-06-07
ASG0092,1400e359-ebb8-4516-a82a-f246fa897cc5,T037,SCH033,PYP Coordinator,Mathematics,Grades K-5,2022-08-01,2024-06-30,Full-time,,,Mathematics,No,2026-06-07,2026-06-07
ASG0093,dc84b551-03c4-40ca-9ec7-92815c91d012,T038,SCH003,Teacher,Environmental Systems,Grades 11-12,2011-08-01,2014-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0094,ffd70656-fd12-4368-87ce-14672da1dd08,T038,SCH015,Senior Teacher,Environmental Systems,Grades 6-8,2015-08-01,2020-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0095,6bbcf3a1-2d49-48f6-9bcc-23cfec8ced4a,T038,SCH012,Senior Teacher,Environmental Systems,Grades 6-8,2021-08-01,,Full-time,,,Science,Yes,2026-06-07,2026-06-07
ASG0096,05fff6b3-bf68-45fa-869b-c9881fa50248,T039,SCH030,Teacher,Design Technology,Grades 9-10,2012-08-01,2015-06-30,Part-time,,,Technology,No,2026-06-07,2026-06-07
ASG0097,c7fe4f89-f512-4b36-9504-a960c831cab8,T039,SCH019,Senior Teacher,Design Technology,Grades 6-12,2015-08-01,2019-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0098,a829851e-5243-4140-a24a-a3a30bb778fc,T039,SCH021,Teacher,Design Technology,Grades 6-12,2019-08-01,2023-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0099,9fbd3184-9e6f-4cb2-95dc-8ce88e2d2ac1,T040,SCH021,Teacher,Geography,Grades 6-12,2019-08-01,2022-06-30,Full-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0100,54ad58e5-a7f3-4e66-b1df-4dcf4176caf9,T041,SCH014,Teacher,Primary Homeroom,Grades 11-12,2015-08-01,2020-06-30,Full-time,,,Primary,No,2026-06-07,2026-06-07
ASG0101,78735a0c-ab84-4b29-ab68-ff46d34e793b,T041,SCH015,MYP Coordinator,Primary Homeroom,Grades 6-8,2021-08-01,2023-06-30,Full-time,,,Primary,No,2026-06-07,2026-06-07
ASG0102,47454abc-85b9-4995-a3c2-99d0e59182c6,T042,SCH023,Teacher,English,Grades 9-10,2004-08-01,2009-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0103,8a3ecfd7-9bb9-4439-b75c-5478a74e7df5,T042,SCH030,Teacher,English,Grades K-5,2010-08-01,2014-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0104,29b00816-4785-49f6-b8fc-66e315e0548d,T042,SCH001,Athletic Director,Athletic Director,Grades 9-12,2015-08-01,2017-06-30,Full-time,,,English,No,2026-06-07,2026-06-07
ASG0105,e5e0510e-e794-43fa-88f2-19006cdf189a,T042,SCH012,PYP Coordinator,Environmental Systems,Grades 11-12,2017-08-01,2019-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0106,abf5d094-2593-4c67-b382-9204c62a116a,T042,SCH005,Dean of Students,Dean of Students,Grades 11-12,2019-08-01,2024-06-30,Part-time,,,English,No,2026-06-07,2026-06-07
ASG0107,8a50eef5-e9d0-476a-a3e3-d8ef455196d6,T043,SCH033,Senior Teacher,Computer Science,Grades K-5,2013-08-01,2017-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0108,fb42e839-bd34-489d-88a8-32961340ceb3,T043,SCH003,Teacher,Theory of Knowledge,Grades 9-12,2018-08-01,2022-06-30,Part-time,,,Humanities,No,2026-06-07,2026-06-07
ASG0109,0b594094-91c7-437b-9fcc-699e8d0c580f,T043,SCH007,Senior Teacher,Computer Science,Grades 9-12,2023-08-01,,Full-time,,,Technology,Yes,2026-06-07,2026-06-07
ASG0110,9ac2364c-d833-423a-92c9-7e19c3812120,T044,SCH031,Teacher,Drama,Grades 6-12,2020-08-01,2024-06-30,Part-time,,,Arts,No,2026-06-07,2026-06-07
ASG0111,c767b887-73f5-40fc-abfe-771d266e505f,T045,SCH013,Teacher,Physical Education,Grades 11-12,2018-08-01,2020-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0112,41d2c123-c1fa-40eb-802b-c6025c079966,T045,SCH036,Teacher,Physical Education,Grades 9-10,2021-08-01,2026-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0113,b94ca5f8-30d6-4025-8925-b72e59ebf148,T046,SCH030,Teacher,Music,Grades K-5,2000-08-01,2004-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0114,039a8d78-a382-4d1c-8cdd-d0054d4f089f,T046,SCH002,Teacher,Spanish,Grades 11-12,2005-08-01,2010-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0115,3af980ef-768a-41ca-b5ee-453afb33625c,T046,SCH013,Counselor,Counselor,Grades 11-12,2011-08-01,2015-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0116,c3060306-e383-4915-960e-8520099fa73d,T046,SCH034,Head of School,Administration,Grades K-5,2015-08-01,2018-06-30,Full-time,,,School Leadership,No,2026-06-07,2026-06-07
ASG0117,c68e1ef8-a054-4da6-88c0-15f97e153ccc,T046,SCH006,Curriculum Coordinator,Primary Homeroom,Grades 9-12,2018-08-01,2021-06-30,Full-time,,,Primary,No,2026-06-07,2026-06-07
ASG0118,363f81d9-45cf-4508-8df1-ac08cb485dcb,T047,SCH035,Teacher,Biology,Grades 6-12,2010-08-01,2012-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0119,e411f629-67b0-4210-ade4-e83d63cdc1dc,T047,SCH033,Teacher,Biology,Grades 6-12,2012-08-01,2015-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0120,10c16392-434b-46c0-878b-2c912a029f36,T047,SCH022,Teacher,Biology,Grades 11-12,2015-08-01,2018-06-30,Full-time,,,Science,No,2026-06-07,2026-06-07
ASG0121,1e4aa4ca-8c1b-4278-8fe8-11d9fea4a986,T047,SCH039,Teacher,Physical Education,Grades 6-12,2019-08-01,2022-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0122,32f87a8f-07f3-4c64-9af2-37a389637603,T048,SCH038,Teacher,Design Technology,Grades 6-12,2013-08-01,2017-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0123,4b1d2d02-2eea-4b4e-a736-1f5810b6d75c,T048,SCH010,Teacher,Design Technology,Grades 6-12,2017-08-01,2022-06-30,Full-time,,,Technology,No,2026-06-07,2026-06-07
ASG0124,24061b12-6dc3-416c-a8c8-43ea0f9fb2ed,T049,SCH028,Teacher,Physical Education,Grades 9-10,2010-08-01,2012-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0125,ee9ffde6-c182-4739-81a9-30dcd5b442bc,T049,SCH007,Teacher,Physical Education,Grades 6-8,2012-08-01,2015-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0126,21796c18-dbf6-44c1-9d1d-988df4a47ea2,T049,SCH034,Teacher,Physical Education,Grades 9-10,2016-08-01,2018-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0127,9bea90a5-c37c-4747-acf3-d7a792a2dba1,T049,SCH011,Senior Teacher,Physical Education,Grades 6-8,2018-08-01,2020-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0128,be4b0765-2843-4ea8-904b-68af4fb84d2e,T050,SCH006,Teacher,Music,PK-K,2015-08-01,2019-06-30,Part-time,,,Arts,No,2026-06-07,2026-06-07
ASG0129,3ac1ff52-f32b-4e07-96ac-277aeea96847,T050,SCH039,Senior Teacher,Music,Grades 11-12,2020-08-01,2023-06-30,Full-time,,,Arts,No,2026-06-07,2026-06-07
ASG0130,62698b2e-9c31-496c-9748-007f9e61152e,T051,SCH022,Teacher,Spanish,PK-K,2006-08-01,2009-06-30,Full-time,,,Languages,No,2026-06-07,2026-06-07
ASG0131,337db803-6437-4d4d-9937-07290a56fb44,T051,SCH028,Teacher,Physical Education,Grades 9-12,2009-08-01,2011-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0132,dc3c191d-8a4f-49fd-86d4-189c7f536e87,T051,SCH007,Teacher,Physical Education,Grades K-5,2011-08-01,2015-06-30,Part-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0133,c39e4ec0-246b-4e35-86ed-bd28956b453f,T051,SCH034,Teacher,Physical Education,Grades 11-12,2015-08-01,2020-06-30,Full-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0134,0fa20dd3-b862-4ae5-aaa3-97a779e5e65e,T052,SCH034,Teacher,Physical Education,PK-K,2004-08-01,2009-06-30,Part-time,,,Physical Education & Health,No,2026-06-07,2026-06-07
ASG0135,afa06902-201b-42e2-bf1d-38faa639da30,T052,SCH023,Counselor,Counselor,Grades 9-12,2010-08-01,2012-06-30,Part-time,,,Science,No,2026-06-07,2026-06-07
