SCHOOL_ID,GLOBAL_ID,SCHOOL_NAME,SCHOOL_TYPE,ADDRESS_FULL,CITY,STATE_PROVINCE,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT_SIZE,GRADE_LEVELS,CURRICULUM_TYPE,CONTACT_EMAIL,WEBSITE,CREATED_DATE,LAST_MODIFIED
SCH012,48f555c5-fe7e-43c2-996d-333db909ebd9,Cairo American College,International School,"Cairo, Egypt",Cairo,Cairo,Egypt,30.02473,31.21816,1300,K-12,IB,info@sch012.6degrees.demo,https://www.sch012.6degrees.demo,2026-06-07,2026-06-07
SCH013,9f4569d3-96b7-4678-9894-b2f24fb21011,American International School in Egypt,International School,"Cairo, Egypt",Cairo,Cairo,Egypt,30.04573,31.2386,800,K-12,Canadian,info@sch013.6degrees.demo,https://www.sch013.6degrees.demo,2026-06-07,2026-06-07
SCH014,0f399fb7-d1ab-4612-ae6c-960275bed16d,Hong Kong International School,International School,"Hong Kong, China",Hong Kong,Hong Kong SAR,China,22.33068,114.1507,1300,K-12,American (AP),info@sch014.6degrees.demo,https://www.sch014.6degrees.demo,2026-06-07,2026-06-07
SCH015,57d56155-4759-4d4d-b3ff-b5fd9eef1865,Canadian International School of Hong Kong,International School,"Hong Kong, China",Hong Kong,Hong Kong SAR,China,22.3108,114.15336,1900,PK-12,IB,info@sch015.6degrees.demo,https://www.sch015.6degrees.demo,2026-06-07,2026-06-07
SCH016,f14864a7-0b65-4d83-b0bc-3304d484e7e1,Shanghai American School,International School,"Shanghai, China",Shanghai,Shanghai,China,31.24318,121.4538,1100,Nursery-13,American (AP),info@sch016.6degrees.demo,https://www.sch016.6degrees.demo,2026-06-07,2026-06-07
SCH017,8cffae93-66af-44d2-92e9-553abd296e9a,Concordia International School Shanghai,International School,"Shanghai, China",Shanghai,Shanghai,China,31.2218,121.46368,1100,PK-12,American (AP),info@sch017.6degrees.demo,https://www.sch017.6degrees.demo,2026-06-07,2026-06-07
SCH018,4595f19d-e7f3-401e-a04d-e5e4171ccd56,International School of Beijing,International School,"Beijing, China",Beijing,Beijing,China,39.89649,116.40594,600,PK-12,American (AP),info@sch018.6degrees.demo,https://www.sch018.6degrees.demo,2026-06-07,2026-06-07
SCH019,54dd1e86-e345-4040-aa44-8d6de915f151,International Community School of Addis Ababa,International School,"Addis Ababa, Ethiopia",Addis Ababa,Addis Ababa,Ethiopia,9.0455,38.73195,1100,K-12,British (IGCSE / A-Level),info@sch019.6degrees.demo,https://www.sch019.6degrees.demo,2026-06-07,2026-06-07
SCH020,3b8d5c71-dd72-4f2e-bfb8-968f83730254,Sandford International School,International School,"Addis Ababa, Ethiopia",Addis Ababa,Addis Ababa,Ethiopia,9.04488,38.72512,950,K-12,IB,info@sch020.6degrees.demo,https://www.sch020.6degrees.demo,2026-06-07,2026-06-07
SCH021,21f43dc0-e755-4df0-95da-fb3c7c2c60f6,Denver International School,International School,"Denver, United States",Denver,Colorado,United States,39.72282,-104.99337,450,K-12,Canadian,info@sch021.6degrees.demo,https://www.sch021.6degrees.demo,2026-06-07,2026-06-07
SCH022,a75882e7-ca49-47ce-b26b-703b92336786,Graland Country Day School,International School,"Denver, United States",Denver,Colorado,United States,39.7272,-105.00477,950,Nursery-13,British (IGCSE / A-Level),info@sch022.6degrees.demo,https://www.sch022.6degrees.demo,2026-06-07,2026-06-07
SCH023,372693cb-9e5e-42ec-968c-81f03af3984b,Washington International School,International School,"Washington, United States",Washington,District of Columbia,United States,38.91545,-77.03124,1300,PK-12,American (AP),info@sch023.6degrees.demo,https://www.sch023.6degrees.demo,2026-06-07,2026-06-07
SCH024,f47ddfb2-e3cf-4aa1-bce6-d66091bf3827,American School of Kuwait,International School,"Kuwait City, Kuwait",Kuwait City,Al Asimah,Kuwait,29.38555,47.98087,600,PK-12,Combined IB/American,info@sch024.6degrees.demo,https://www.sch024.6degrees.demo,2026-06-07,2026-06-07
SCH025,4455cd5d-4e86-4d8f-bb61-75a5ed203efb,American School of Bombay,International School,"Mumbai, India",Mumbai,Maharashtra,India,19.06132,72.88277,1100,PK-12,Canadian,info@sch025.6degrees.demo,https://www.sch025.6degrees.demo,2026-06-07,2026-06-07
SCH026,798d0278-12b5-43a0-a520-a69ca1b8e262,American Embassy School New Delhi,International School,"New Delhi, India",New Delhi,Delhi,India,28.59922,77.20719,1600,K-12,British (IGCSE / A-Level),info@sch026.6degrees.demo,https://www.sch026.6degrees.demo,2026-06-07,2026-06-07
SCH027,94059385-3515-41f5-8327-63f77a1eb6b7,International School of Kenya,International School,"Nairobi, Kenya",Nairobi,Nairobi,Kenya,-1.27333,36.81865,950,PK-12,Combined IB/American,info@sch027.6degrees.demo,https://www.sch027.6degrees.demo,2026-06-07,2026-06-07
SCH028,b0c78403-731c-4162-95b7-c8dc24f4b761,The American School in Japan,International School,"Tokyo, Japan",Tokyo,Tokyo,Japan,35.67573,139.6594,1100,K-12,Canadian,info@sch028.6degrees.demo,https://www.sch028.6degrees.demo,2026-06-07,2026-06-07
SCH029,d18c7209-afb2-41cc-aad6-3668dfae4ba4,The American School in London,International School,"London, United Kingdom",London,England,United Kingdom,51.52517,-0.12383,450,Nursery-13,IB,info@sch029.6degrees.demo,https://www.sch029.6degrees.demo,2026-06-07,2026-06-07
SCH030,e30832d7-689f-46d7-9ce9-054b47c4db03,International School of Geneva,International School,"Geneva, Switzerland",Geneva,Geneva,Switzerland,46.19905,6.13387,1300,K-12,IB,info@sch030.6degrees.demo,https://www.sch030.6degrees.demo,2026-06-07,2026-06-07
SCH031,0a7a1933-f044-407f-a434-4b15749f31c4,International School of Kuala Lumpur,International School,"Kuala Lumpur, Malaysia",Kuala Lumpur,Kuala Lumpur,Malaysia,3.14473,101.69401,1600,K-12,Canadian,info@sch031.6degrees.demo,https://www.sch031.6degrees.demo,2026-06-07,2026-06-07
SCH032,f15c9d67-f9ea-40e2-8025-5f11408f8753,Jakarta Intercultural School,International School,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,-6.21054,106.8655,1900,PK-12,Combined IB/American,info@sch032.6degrees.demo,https://www.sch032.6degrees.demo,2026-06-07,2026-06-07
SCH033,a995ab00-ccb5-4188-a082-f4496978da27,American School of Doha,International School,"Doha, Qatar",Doha,Doha,Qatar,25.27546,51.51481,1600,Nursery-13,American (AP),info@sch033.6degrees.demo,https://www.sch033.6degrees.demo,2026-06-07,2026-06-07
SCH034,c37e97c6-d75f-4faf-868d-a74a9990e743,The American International School of Muscat,International School,"Muscat, Oman",Muscat,Muscat,Oman,23.59998,58.39491,1900,PK-12,British (IGCSE / A-Level),info@sch034.6degrees.demo,https://www.sch034.6degrees.demo,2026-06-07,2026-06-07
SCH035,65623c7c-b8b3-4cb4-9b21-3c5d32abdb81,Graded - The American School of Sao Paulo,International School,"Sao Paulo, Brazil",Sao Paulo,Sao Paulo,Brazil,-23.55572,-46.6514,1100,PK-12,British (IGCSE / A-Level),info@sch035.6degrees.demo,https://www.sch035.6degrees.demo,2026-06-07,2026-06-07
SCH036,51e989d1-1743-4c9f-af88-dbdcbd415684,American International School of Lagos,International School,"Lagos, Nigeria",Lagos,Lagos,Nigeria,6.52345,3.39405,1100,Nursery-13,IB,info@sch036.6degrees.demo,https://www.sch036.6degrees.demo,2026-06-07,2026-06-07
SCH037,2542b1d8-6e79-4b4b-8ec4-a95036b4d765,Lincoln Community School Accra,International School,"Accra, Ghana",Accra,Greater Accra,Ghana,5.6003,-0.18117,1100,Nursery-13,IB,info@sch037.6degrees.demo,https://www.sch037.6degrees.demo,2026-06-07,2026-06-07
SCH038,c5b4720f-4bf7-45df-9669-08d04071a8f8,United Nations International School of Hanoi,International School,"Hanoi, Vietnam",Hanoi,Hanoi,Vietnam,21.02524,105.82446,1100,K-12,Combined IB/American,info@sch038.6degrees.demo,https://www.sch038.6degrees.demo,2026-06-07,2026-06-07
SCH039,28178220-06fb-4da8-8386-37649b927e9b,International School Ho Chi Minh City,International School,"Ho Chi Minh City, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.80967,106.63771,1100,K-12,American (AP),info@sch039.6degrees.demo,https://www.sch039.6degrees.demo,2026-06-07,2026-06-07
